Planet	a	e	i	O	w	L	da	de	di	dO	dw	dL
Mercury	0.38709893	0.20563069	0.122258045174	0.843546774487	1.35187007941	4.40260769892	0.00000066	0.00002527	-1477.17686572	-28041.8560259	36038.4659664	33809922446.4
Venus	0.72333199	0.00677323	0.0592488666504	1.3383305132	2.29568357596	3.17614546039	0.00000092	-0.00004938	-179.699099785	-62636.4460087	-6836.10561421	13236418044.4
Earth	1.00000011	0.01671022	8.72664625997e-07	-0.196535243882	1.79676742118	1.75343368838	-0.00000005	-0.00003804	-2949.32718319	-1145314.72576	75290.1528989	8142866197.7
Mars	1.52366231	0.09341233	0.0322992376703	0.865308761332	5.86501907917	6.20383077115	-0.00007221	0.00011902	-1600.32729774	-64100.4281853	98066.6996374	4329435356.6
Jupiter	5.20336301	0.04839266	0.0227817827263	1.75503590063	0.257503259845	0.600469708107	0.00060737	-0.00012880	-260.752190248	76477.0466034	52774.3583506	686442917.685
Saturn	9.53707032	0.05415060	0.0433620071341	1.98470185704	1.61324168701	0.87169282667	-0.00301530	-0.00036762	383.902622269	-99968.6198299	-122452.370133	276526312.316
Uranus	19.19126393	0.04716771	0.0134365917794	1.29555580936	2.98388889117	5.4669328642	0.00152025	-0.00019150	-131.31857292	-105645.477755	82470.5770679	96921136.0975
Neptune	30.06896348	0.00858587	0.0308778415275	2.29897718679	0.784898126567	5.32116034708	-0.00125196	0.0000251	-228.707945181	-9503.31777711	-53057.1016894	49414061.2111
Pluto	39.48168677	0.24880766	0.299179977054	1.92515872787	3.91070270628	4.17009441237	-0.00076912	0.00006465	695.548613505	-2345.51307517	-8309.51256875	32845219.2464
